,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C)
0,1,1,8.0,0.0,20.42,0.0,59.0,0.44,0,0.0,0.0,0,1,24.444444
1,1,2,8.0,0.0,20.16,0.0,59.61,0.44,0,0.0,0.0,0,1,24.444444
2,1,3,8.0,0.0,20.0,0.0,59.95,0.44,0,0.0,0.0,0,1,24.444444
3,1,4,8.0,0.0,19.78,0.0,60.31,0.44,0,0.0,0.0,0,1,24.444444
4,1,5,8.0,0.0,19.66,0.0,60.29,0.44,0,0.0,0.0,0,1,24.444444
5,1,6,8.0,0.0,19.58,0.0,60.25,0.44,0,0.0,0.0,0,1,24.444444
6,1,7,8.0,0.0,19.5,0.0,60.28,0.44,0,0.0,0.0,0,1,24.444444
7,1,8,8.0,0.0,19.42,0.0,60.27,0.44,0,0.0,0.0,0,1,24.444444
8,1,9,8.0,0.0,19.89,0.0,58.06,0.44,0,0.51,28.2155,0,1,24.444444
9,1,10,8.0,0.0,20.83,0.0,53.49,2.46,0,0.44,45.8566,0,1,24.444444
10,1,11,8.0,0.0,20.96,0.0,52.04,6.27,0,0.0,74.4313,0,1,24.444444
11,1,12,8.0,0.0,20.99,0.0,53.37,8.06,0,0.0,144.55,0,1,24.444444
12,1,13,8.0,0.0,20.97,0.0,58.15,8.06,0,0.0,148.719,0,1,24.444444
13,1,14,8.0,0.0,20.99,0.0,61.12,8.06,0,0.0,96.634,0,1,24.444444
14,1,15,8.0,0.0,21.01,0.0,59.96,8.06,0,0.0,53.573,0,1,24.444444
15,1,16,8.0,0.0,21.02,0.0,59.54,8.06,0,0.0,30.8986,0,1,24.444444
16,1,17,8.0,0.0,21.0,0.0,59.07,8.06,0,0.0,9.70243,0,1,24.444444
17,1,18,8.0,0.0,21.02,0.0,56.67,5.37,0,0.0,0.0,0,1,24.444444
18,1,19,8.0,0.0,20.91,0.0,55.98,2.35,0,0.0,0.0,0,1,24.444444
19,1,20,8.0,0.0,20.67,0.0,56.92,2.35,0,0.0,0.0,0,1,24.444444
20,1,21,8.0,0.0,20.73,0.0,56.98,2.35,0,0.0,0.0,0,1,24.444444
21,1,22,8.0,0.0,20.76,0.0,57.28,2.35,0,0.0,0.0,0,1,24.444444
22,1,23,8.0,0.0,20.73,0.0,57.7,2.35,0,0.0,0.0,0,1,24.444444
23,1,24,8.0,0.0,20.6,0.0,58.18,1.45,0,0.0,0.0,0,1,24.444444
24,1,1,5.0,0.0,20.52,0.0,58.46,0.44,0,0.0,0.0,0,1,24.444444
25,1,2,5.0,0.0,20.44,0.0,58.79,0.44,0,0.0,0.0,0,1,24.444444
26,1,3,5.0,0.0,20.32,0.0,59.26,0.44,0,0.0,0.0,0,1,24.444444
27,1,4,5.0,0.0,20.23,0.0,59.67,0.44,0,0.0,0.0,0,1,24.444444
28,1,5,5.0,0.0,20.17,0.0,59.97,0.44,0,0.0,0.0,0,1,24.444444
29,1,6,5.0,0.0,20.1,0.0,60.26,0.44,0,0.0,0.0,0,1,24.444444
30,1,7,5.0,0.0,19.99,0.0,60.82,0.44,0,0.0,0.0,0,1,24.444444
31,1,8,5.0,0.0,20.17,0.0,60.44,0.44,0,0.35,0.0,0,1,24.444444
32,1,9,5.0,0.0,20.9,0.0,58.18,1.45,0,0.66,45.0112,0,1,24.444444
33,1,10,5.0,0.0,21.0,0.0,58.2,5.37,0,0.0,113.45,0,1,24.444444
34,1,11,5.0,0.0,20.97,0.0,57.61,8.06,0,0.0,174.733,0,1,24.444444
35,1,12,5.0,0.0,21.03,0.0,55.5,8.06,0,0.0,233.711,0,1,24.444444
36,1,13,5.0,0.0,21.01,0.0,51.16,8.06,0,0.0,244.996,0,1,24.444444
37,1,14,5.0,0.0,21.02,0.0,46.36,8.06,0,0.0,232.412,0,1,24.444444
38,1,15,5.0,0.0,21.02,0.0,42.23,8.06,0,0.0,185.682,0,1,24.444444
39,1,16,5.0,0.0,21.01,0.0,38.63,8.06,0,0.0,116.802,0,1,24.444444
40,1,17,5.0,0.0,21.0,0.0,34.72,8.06,0,0.0,25.4838,0,1,24.444444
